ID,ns,score,E.C.
ID78,78,0.972323202262802,WT-AZD1061
ID79,79,0.9651074439825166,WT-AZD1061
ID80,80,0.9438908400683792,WT-AZD1061
ID81,81,0.9484067593765864,WT-AZD1061
ID82,82,0.9422288541514628,WT-AZD1061
ID83,83,0.9768979746245152,WT-AZD1061
ID84,84,0.976033855131636,WT-AZD1061
ID85,85,0.9408006592554832,WT-AZD1061
ID86,86,0.9712539791765726,WT-AZD1061
ID87,87,0.9745592194493544,WT-AZD1061
ID88,88,0.9703702329329792,WT-AZD1061
ID89,89,0.978085522945908,WT-AZD1061
ID90,90,0.9861417134092304,WT-AZD1061
ID91,91,0.9776391698482232,WT-AZD1061
ID92,92,0.9768268731987992,WT-AZD1061
ID93,93,0.9699155357971798,WT-AZD1061
ID94,94,0.9576080983644528,WT-AZD1061
ID95,95,0.9639106194972352,WT-AZD1061
ID96,96,0.9758312166295008,WT-AZD1061
ID97,97,0.9746675284944524,WT-AZD1061
ID98,98,0.9864915054744644,WT-AZD1061
ID99,99,0.9659104085407412,WT-AZD1061
ID100,100,0.9665344947901698,WT-AZD1061
ID0,0,0.9999986657119786,ALFA-AZD1061
ID1,1,0.9733807509425376,ALFA-AZD1061
ID2,2,0.9684711173457394,ALFA-AZD1061
ID3,3,0.9874773508288656,ALFA-AZD1061
ID4,4,0.971290972941353,ALFA-AZD1061
ID5,5,0.9724673078125536,ALFA-AZD1061
ID6,6,0.9845299675664846,ALFA-AZD1061
ID7,7,0.980558819956932,ALFA-AZD1061
ID8,8,0.9703475569117606,ALFA-AZD1061
ID9,9,0.9759749789205068,ALFA-AZD1061
ID10,10,0.9803963231749148,ALFA-AZD1061
ID11,11,0.9789104041206342,ALFA-AZD1061
ID12,12,0.9845610199375072,ALFA-AZD1061
ID13,13,0.9811099877619354,ALFA-AZD1061
ID14,14,0.9789056506946018,ALFA-AZD1061
ID15,15,0.9661799391412718,ALFA-AZD1061
ID16,16,0.9690335602904616,ALFA-AZD1061
ID17,17,0.9853524388352256,ALFA-AZD1061
ID18,18,0.9753081037386124,ALFA-AZD1061
ID19,19,0.9794868773118972,ALFA-AZD1061
ID20,20,0.9824566734657442,ALFA-AZD1061
ID21,21,0.9664183868783888,ALFA-AZD1061
ID22,22,0.979923310094994,ALFA-AZD1061
ID23,23,0.983432307061374,ALFA-AZD1061
ID24,24,0.963310299046285,ALFA-AZD1061
ID25,25,0.9699702248063246,ALFA-AZD1061
ID26,26,0.9667646461191768,ALFA-AZD1061
ID27,27,0.964760509138094,ALFA-AZD1061
ID28,28,0.9794953283290924,ALFA-AZD1061
ID29,29,0.9871547496878432,ALFA-AZD1061
ID30,30,0.9597253367144948,ALFA-AZD1061
ID31,31,0.9807734717367648,ALFA-AZD1061
ID32,32,0.9682637751041444,ALFA-AZD1061
ID33,33,0.9509561261638716,ALFA-AZD1061
ID34,34,0.969809684174557,ALFA-AZD1061
ID35,35,0.966278962243456,ALFA-AZD1061
ID36,36,0.9720529930777768,ALFA-AZD1061
ID37,37,0.9674051739140624,ALFA-AZD1061
ID38,38,0.9536570659593828,ALFA-AZD1061
ID39,39,0.9868836512311372,ALFA-AZD1061
ID40,40,0.9727269513292476,ALFA-AZD1061
ID41,41,0.959096621875402,ALFA-AZD1061
ID42,42,0.9827733771304232,ALFA-AZD1061
ID43,43,0.9512184735537288,ALFA-AZD1061
ID44,44,0.9716042781337046,ALFA-AZD1061
ID45,45,0.96957996501399,ALFA-AZD1061
ID46,46,0.955252783228626,ALFA-AZD1061
ID47,47,0.981882654703082,ALFA-AZD1061
ID48,48,0.9831530517526148,ALFA-AZD1061
ID49,49,0.9692164978026848,ALFA-AZD1061
ID50,50,0.9675703713121088,ALFA-AZD1061
ID51,51,0.9836815165369436,ALFA-AZD1061
ID52,52,0.9792514867660952,ALFA-AZD1061
ID53,53,0.9545986655767434,ALFA-AZD1061
ID54,54,0.9902554483580378,ALFA-AZD1061
ID55,55,0.97509930857253,ALFA-AZD1061
ID56,56,0.981739630942326,ALFA-AZD1061
ID57,57,0.9787246877554407,ALFA-AZD1061
ID58,58,0.9690438085103028,ALFA-AZD1061
ID59,59,0.9486626694353568,ALFA-AZD1061
ID60,60,0.9737332159103071,ALFA-AZD1061
ID61,61,0.9658026732201468,ALFA-AZD1061
ID62,62,0.9556097053345544,ALFA-AZD1061
ID63,63,0.9343880025723872,ALFA-AZD1061
ID64,64,0.9746610305784932,ALFA-AZD1061
ID65,65,0.9468438512081744,ALFA-AZD1061
ID66,66,0.9716924299925472,ALFA-AZD1061
ID67,67,0.9537908589953522,ALFA-AZD1061
ID68,68,0.9630474489673606,ALFA-AZD1061
ID69,69,0.9804004846455202,ALFA-AZD1061
ID70,70,0.9807301881465394,ALFA-AZD1061
ID71,71,0.9744403447917452,ALFA-AZD1061
ID72,72,0.9551056228982772,ALFA-AZD1061
ID73,73,0.971527779677586,ALFA-AZD1061
ID74,74,0.9783667898440784,ALFA-AZD1061
ID75,75,0.9742791555148154,ALFA-AZD1061
ID76,76,0.9737194344593016,ALFA-AZD1061
ID77,77,0.9663746080292736,ALFA-AZD1061
ID78,78,0.956081644546962,ALFA-AZD1061
ID79,79,0.9648172216970566,ALFA-AZD1061
ID80,80,0.9703002574966256,ALFA-AZD1061
ID81,81,0.956331879094526,ALFA-AZD1061
ID82,82,0.9195768132068398,ALFA-AZD1061
ID83,83,0.8990162807575737,ALFA-AZD1061
ID84,84,0.9411448541162226,ALFA-AZD1061
ID85,85,0.9276990622198024,ALFA-AZD1061
ID86,86,0.92384624865071,ALFA-AZD1061
ID87,87,0.9247974798048628,ALFA-AZD1061
ID88,88,0.9442044279618356,ALFA-AZD1061
ID89,89,0.9114541548866508,ALFA-AZD1061
ID90,90,0.9347569648549,ALFA-AZD1061
ID91,91,0.9363651164916312,ALFA-AZD1061
ID92,92,0.9544201573807302,ALFA-AZD1061
ID93,93,0.9339026415682528,ALFA-AZD1061
ID94,94,0.9527680308431512,ALFA-AZD1061
ID95,95,0.9118051572515768,ALFA-AZD1061
ID96,96,0.933182589170909,ALFA-AZD1061
ID97,97,0.934786093914802,ALFA-AZD1061
ID98,98,0.9106753714833108,ALFA-AZD1061
ID99,99,0.952855896864858,ALFA-AZD1061
ID100,100,0.9107635639989204,ALFA-AZD1061
ID0,0,0.999998736494219,BETA-AZD1061
ID1,1,0.962809167997476,BETA-AZD1061
ID2,2,0.96215797517177,BETA-AZD1061
ID3,3,0.9552494122489148,BETA-AZD1061
ID4,4,0.954815638507107,BETA-AZD1061
ID5,5,0.9577588767812985,BETA-AZD1061
ID6,6,0.9652804693487028,BETA-AZD1061
ID7,7,0.9696716120292992,BETA-AZD1061
ID8,8,0.9753405455789488,BETA-AZD1061
ID9,9,0.9817127842164838,BETA-AZD1061
ID10,10,0.9667750198283324,BETA-AZD1061
ID11,11,0.9369325216386358,BETA-AZD1061
ID12,12,0.8741126265418182,BETA-AZD1061
ID13,13,0.927818424846393,BETA-AZD1061
ID14,14,0.9439520136316388,BETA-AZD1061
ID15,15,0.9466103732457882,BETA-AZD1061
ID16,16,0.9090940886388048,BETA-AZD1061
ID17,17,0.9291336378828684,BETA-AZD1061
ID18,18,0.9131207036138296,BETA-AZD1061
ID19,19,0.9181405353630638,BETA-AZD1061
ID20,20,0.96681514276533,BETA-AZD1061
ID21,21,0.948246414527016,BETA-AZD1061
ID22,22,0.9372649288949692,BETA-AZD1061
ID23,23,0.961643218597139,BETA-AZD1061
ID24,24,0.937350640141704,BETA-AZD1061
ID25,25,0.951324264809012,BETA-AZD1061
ID26,26,0.9387778118688116,BETA-AZD1061
ID27,27,0.9394894843324596,BETA-AZD1061
ID28,28,0.9153837955623472,BETA-AZD1061
ID29,29,0.9558592048462724,BETA-AZD1061
ID30,30,0.9479720804974626,BETA-AZD1061
ID31,31,0.9544777719530024,BETA-AZD1061
ID32,32,0.933724307719417,BETA-AZD1061
ID33,33,0.9104396244400156,BETA-AZD1061
ID34,34,0.9495855864045804,BETA-AZD1061
ID35,35,0.9633955092657276,BETA-AZD1061
ID36,36,0.9356823636943662,BETA-AZD1061
ID37,37,0.9357103762786568,BETA-AZD1061
ID38,38,0.9526762117057184,BETA-AZD1061
ID39,39,0.9259247057393252,BETA-AZD1061
ID40,40,0.9487478456049449,BETA-AZD1061
ID41,41,0.9590477814596988,BETA-AZD1061
ID42,42,0.9550832970483238,BETA-AZD1061
ID43,43,0.9756736042818742,BETA-AZD1061
ID44,44,0.9512886103697832,BETA-AZD1061
ID45,45,0.910793827446429,BETA-AZD1061
ID46,46,0.9492743681669996,BETA-AZD1061
ID47,47,0.9271720203601928,BETA-AZD1061
ID48,48,0.9551927130484908,BETA-AZD1061
ID49,49,0.9449280668362768,BETA-AZD1061
ID50,50,0.948903432458722,BETA-AZD1061
ID51,51,0.9481319211264396,BETA-AZD1061
ID52,52,0.9432355089916368,BETA-AZD1061
ID53,53,0.9467925829427988,BETA-AZD1061
ID54,54,0.8968728522008332,BETA-AZD1061
ID55,55,0.9511659851097763,BETA-AZD1061
ID56,56,0.9331380245407808,BETA-AZD1061
ID57,57,0.9381740493131918,BETA-AZD1061
ID58,58,0.9251811594826708,BETA-AZD1061
ID59,59,0.9301142251138764,BETA-AZD1061
ID60,60,0.934903123918792,BETA-AZD1061
ID61,61,0.9487713601327228,BETA-AZD1061
ID62,62,0.9310676823664132,BETA-AZD1061
ID63,63,0.957434527845353,BETA-AZD1061
ID64,64,0.9453068028973782,BETA-AZD1061
ID65,65,0.9170019239665178,BETA-AZD1061
ID66,66,0.9478640398745672,BETA-AZD1061
ID67,67,0.9121219289072644,BETA-AZD1061
ID68,68,0.9407725064765434,BETA-AZD1061
ID69,69,0.9345642868702492,BETA-AZD1061
ID70,70,0.940583307149224,BETA-AZD1061
ID71,71,0.9584320447469432,BETA-AZD1061
ID72,72,0.941924609303882,BETA-AZD1061
ID73,73,0.9503884984611216,BETA-AZD1061
ID74,74,0.937408532442335,BETA-AZD1061
ID75,75,0.9459382558864534,BETA-AZD1061
ID76,76,0.9557977441440534,BETA-AZD1061
ID77,77,0.9467248694799308,BETA-AZD1061
ID78,78,0.9112479652836049,BETA-AZD1061
ID79,79,0.9681844504254143,BETA-AZD1061
ID80,80,0.9494973136779404,BETA-AZD1061
ID81,81,0.9633972544498648,BETA-AZD1061
ID82,82,0.9380330484706312,BETA-AZD1061
ID83,83,0.9701855152562288,BETA-AZD1061
ID84,84,0.9471742225065766,BETA-AZD1061
ID85,85,0.947163278271341,BETA-AZD1061
ID86,86,0.9466186444373254,BETA-AZD1061
ID87,87,0.9599758796637052,BETA-AZD1061
ID88,88,0.9323118642777004,BETA-AZD1061
ID89,89,0.8862911584298764,BETA-AZD1061
ID90,90,0.9252989427096237,BETA-AZD1061
ID91,91,0.9492249462739374,BETA-AZD1061
ID92,92,0.947791931857063,BETA-AZD1061
