ID,ns,score,E.C.
ID19,19,0.8930177516809309,ALFA-CTP59
ID20,20,0.8886809847179271,ALFA-CTP59
ID21,21,0.87603212520604,ALFA-CTP59
ID22,22,0.8180772366174671,ALFA-CTP59
ID23,23,0.8876419855733054,ALFA-CTP59
ID24,24,0.8787955993396054,ALFA-CTP59
ID25,25,0.8745693299333337,ALFA-CTP59
ID26,26,0.8497389103844774,ALFA-CTP59
ID27,27,0.8988381312311914,ALFA-CTP59
ID28,28,0.8976899524045784,ALFA-CTP59
ID29,29,0.9185114748834282,ALFA-CTP59
ID30,30,0.9028881795786357,ALFA-CTP59
ID31,31,0.9479891279144098,ALFA-CTP59
ID32,32,0.935486573744836,ALFA-CTP59
ID33,33,0.9074612369282348,ALFA-CTP59
ID34,34,0.9263882202129592,ALFA-CTP59
ID35,35,0.9314664477788264,ALFA-CTP59
ID36,36,0.8757795269326065,ALFA-CTP59
ID37,37,0.8939316864330658,ALFA-CTP59
ID38,38,0.8250003104142153,ALFA-CTP59
ID39,39,0.9234311969874444,ALFA-CTP59
ID40,40,0.8956460888671738,ALFA-CTP59
ID41,41,0.9114867959005984,ALFA-CTP59
ID42,42,0.9330295449138716,ALFA-CTP59
ID43,43,0.8559675793248301,ALFA-CTP59
ID44,44,0.918059902147042,ALFA-CTP59
ID45,45,0.8890844143237903,ALFA-CTP59
ID46,46,0.914580250337504,ALFA-CTP59
ID47,47,0.8444657861793315,ALFA-CTP59
ID48,48,0.8259376717048464,ALFA-CTP59
ID49,49,0.9095321551002624,ALFA-CTP59
ID50,50,0.8679772504911757,ALFA-CTP59
ID51,51,0.8780224593509569,ALFA-CTP59
ID52,52,0.8590942024707857,ALFA-CTP59
ID53,53,0.8513685930483579,ALFA-CTP59
ID54,54,0.8413866541233554,ALFA-CTP59
ID55,55,0.8363473859080249,ALFA-CTP59
ID56,56,0.8760451021665113,ALFA-CTP59
ID57,57,0.8934442124026551,ALFA-CTP59
ID58,58,0.8987246794196745,ALFA-CTP59
ID59,59,0.8687181934517428,ALFA-CTP59
ID60,60,0.8689341822902179,ALFA-CTP59
ID61,61,0.8934456057337901,ALFA-CTP59
ID62,62,0.8713858619635598,ALFA-CTP59
ID63,63,0.874506171404235,ALFA-CTP59
ID64,64,0.8662886207437657,ALFA-CTP59
ID65,65,0.8665448032174737,ALFA-CTP59
ID66,66,0.8396936179163252,ALFA-CTP59
ID67,67,0.848072478038083,ALFA-CTP59
ID68,68,0.8641271651232815,ALFA-CTP59
ID69,69,0.829896603543415,ALFA-CTP59
ID70,70,0.869332367792162,ALFA-CTP59
ID71,71,0.8079351679964342,ALFA-CTP59
ID72,72,0.8638453461787753,ALFA-CTP59
ID73,73,0.8525466284156661,ALFA-CTP59
ID74,74,0.8258017052330011,ALFA-CTP59
ID75,75,0.8522595424718208,ALFA-CTP59
ID76,76,0.8806138489025898,ALFA-CTP59
ID77,77,0.8714118272409263,ALFA-CTP59
ID78,78,0.8493666334719032,ALFA-CTP59
ID79,79,0.8271293518263684,ALFA-CTP59
ID80,80,0.785708038006486,ALFA-CTP59
ID81,81,0.8510860477751722,ALFA-CTP59
ID82,82,0.8286233030938024,ALFA-CTP59
ID83,83,0.8041491095380738,ALFA-CTP59
ID84,84,0.8280507838990006,ALFA-CTP59
ID85,85,0.8643537120379717,ALFA-CTP59
ID86,86,0.8404900444328973,ALFA-CTP59
ID87,87,0.8140369356218896,ALFA-CTP59
ID88,88,0.8507271686650246,ALFA-CTP59
ID89,89,0.8327235772815044,ALFA-CTP59
ID90,90,0.8213042949151902,ALFA-CTP59
ID91,91,0.8425735736137918,ALFA-CTP59
ID92,92,0.8163338368309988,ALFA-CTP59
ID93,93,0.8587151276721006,ALFA-CTP59
ID94,94,0.7562672866320458,ALFA-CTP59
ID95,95,0.8263245712616484,ALFA-CTP59
ID96,96,0.799591073295265,ALFA-CTP59
ID97,97,0.8087794897166897,ALFA-CTP59
