ID,ns,score,E.C.
ID0,0,0.9999983358248338,WT-EY6A
ID1,1,0.9881915722714248,WT-EY6A
ID2,2,0.9832456817114668,WT-EY6A
ID3,3,0.987287522861348,WT-EY6A
ID4,4,0.979870199149882,WT-EY6A
ID5,5,0.9840998392828229,WT-EY6A
ID6,6,0.9821591319293164,WT-EY6A
ID7,7,0.9775973186130046,WT-EY6A
ID8,8,0.974702065089058,WT-EY6A
ID9,9,0.96821392768582,WT-EY6A
ID10,10,0.9713444250387518,WT-EY6A
ID11,11,0.963988032753718,WT-EY6A
ID12,12,0.9668826462474815,WT-EY6A
ID13,13,0.9679225271332216,WT-EY6A
ID14,14,0.9580873264761977,WT-EY6A
ID15,15,0.97406021121573,WT-EY6A
ID16,16,0.9736717309142996,WT-EY6A
ID17,17,0.9749747983645634,WT-EY6A
ID18,18,0.9783736668147016,WT-EY6A
ID19,19,0.9671848699877504,WT-EY6A
ID20,20,0.9726996287554768,WT-EY6A
ID21,21,0.9784777403753102,WT-EY6A
ID22,22,0.9781637648976442,WT-EY6A
ID23,23,0.969117012521066,WT-EY6A
ID24,24,0.9632347921200516,WT-EY6A
ID25,25,0.9750260900026452,WT-EY6A
ID26,26,0.9712261092971658,WT-EY6A
ID27,27,0.9654546484881394,WT-EY6A
ID28,28,0.9633724407137284,WT-EY6A
ID29,29,0.9658745316875966,WT-EY6A
ID30,30,0.9682527676768474,WT-EY6A
ID31,31,0.9718556092483578,WT-EY6A
ID32,32,0.970895329942234,WT-EY6A
ID33,33,0.9644167198279172,WT-EY6A
ID34,34,0.968027880229578,WT-EY6A
ID35,35,0.9584193345065132,WT-EY6A
ID36,36,0.948651678069996,WT-EY6A
ID37,37,0.9647143635104132,WT-EY6A
ID38,38,0.9602892726578086,WT-EY6A
ID39,39,0.9646777272146548,WT-EY6A
ID40,40,0.9700112796654352,WT-EY6A
ID41,41,0.9608266817638969,WT-EY6A
ID42,42,0.943695583649424,WT-EY6A
ID43,43,0.937296486707116,WT-EY6A
ID44,44,0.9478148969493478,WT-EY6A
ID45,45,0.9330204903437695,WT-EY6A
ID46,46,0.9459393003783536,WT-EY6A
ID47,47,0.9488128079309543,WT-EY6A
ID48,48,0.950486423540696,WT-EY6A
ID49,49,0.9556644996769744,WT-EY6A
ID50,50,0.9585933528789388,WT-EY6A
ID51,51,0.9582685123749876,WT-EY6A
ID52,52,0.9592418806132114,WT-EY6A
ID53,53,0.9593419209629918,WT-EY6A
ID54,54,0.9446419001157862,WT-EY6A
ID55,55,0.9454655699242288,WT-EY6A
ID56,56,0.9512937326566796,WT-EY6A
ID57,57,0.9493462086305596,WT-EY6A
ID58,58,0.969724900433338,WT-EY6A
ID59,59,0.9448383444549924,WT-EY6A
ID60,60,0.95798770655813,WT-EY6A
ID61,61,0.9398402655076772,WT-EY6A
ID62,62,0.948686859231089,WT-EY6A
ID63,63,0.95567892531,WT-EY6A
ID64,64,0.936068260856826,WT-EY6A
ID65,65,0.9555499144892966,WT-EY6A
ID66,66,0.950162920734942,WT-EY6A
ID67,67,0.9498651833573678,WT-EY6A
ID68,68,0.9632918748641242,WT-EY6A
ID69,69,0.9477077389545978,WT-EY6A
ID70,70,0.9563780260664752,WT-EY6A
ID71,71,0.9568729665049892,WT-EY6A
ID72,72,0.9623311360389948,WT-EY6A
ID73,73,0.9605494311688944,WT-EY6A
ID74,74,0.9535412476473484,WT-EY6A
ID75,75,0.951665175811126,WT-EY6A
ID76,76,0.9661910645350352,WT-EY6A
ID77,77,0.9554089484513724,WT-EY6A
ID78,78,0.9496214838579226,WT-EY6A
ID79,79,0.969952009844551,WT-EY6A
ID80,80,0.9509627318298908,WT-EY6A
ID81,81,0.9528878465452834,WT-EY6A
ID82,82,0.951614854267554,WT-EY6A
ID83,83,0.94826655847023,WT-EY6A
ID84,84,0.9482827324325956,WT-EY6A
ID85,85,0.951582878584579,WT-EY6A
ID86,86,0.9450264506746584,WT-EY6A
ID87,87,0.9630017476986228,WT-EY6A
ID88,88,0.940026046883259,WT-EY6A
ID89,89,0.952322287358554,WT-EY6A
ID90,90,0.9526969524573996,WT-EY6A
ID91,91,0.9666633610935044,WT-EY6A
ID92,92,0.9384264848134652,WT-EY6A
ID93,93,0.941987014890148,WT-EY6A
ID94,94,0.9497143510000532,WT-EY6A
ID95,95,0.9696506835460204,WT-EY6A
ID96,96,0.9605611868430808,WT-EY6A
ID97,97,0.962952488716128,WT-EY6A
ID98,98,0.9597012411130372,WT-EY6A
ID99,99,0.9699584468489764,WT-EY6A
ID100,100,0.9561595912266888,WT-EY6A
